Recode,Remove,Citation,DOI,ID_DOI_byFlowEntry,ID_DOI_by_Flow,2.1.Flow.Type,2.2.Subtype.NEW,2.2.Subtype.OLD,Flag_SubtypeCode,Flag_QualityCheck,Flag_FlowCode,Flag_SubflowSpit,Flag_FlowSplit ,Flag_MissingData,Exclude_Or_Recode_DOI
,,"Perry, 2007, Climate Change 2007",NA,203,214,Biotic,range-shift,range-shift,,,,,,,
,,"Perry, 2007, Climate Change 2007",NA,214,225,Trade (transport of goods and services),Energy Supply,Energy Supply,,,,,,,
,,"Peters-Lidard et al, 2021, Climatic Change",https://doi.org/10.1007/s10584-021-03057-5,112,116,Physical,Surface water quantity,river flow,Yes,No,No,No,No,,
,,"Pitman, 2020, BioScience",doi:10.1093/biosci/biaa015,175,186,Physical,Glacial melt and discharge,Glacial runoff,,,,,,,
,,"Pitman, 2020, BioScience",doi:10.1093/biosci/biaa015,205,216,Biotic,range shifts,range Shifts,,,,,,,
,,"Robinne, 2020, Journal of Hydrology",https://doi.org/10.1016/j.jhydrol.2019.124360,186,197,Physical,wildfire,Wildfires,,,,,,,
,,"Sabater, 2023, Biological Reviews",doi: 10.1111/brv.12914,7,7,Physical,Surface water quantity,river flow,,,,,,,
,,"Scavia, 2002, Estuaries",10.1007/BF02691304,166,177,Physical,nutrient flow,riverine discharge and nutrient loading,,,,,,,
,,"Scavia, 2002, Estuaries",10.1007/BF02691304,200,211,Physical,ocean current,ocean current,,,,,,,
,,"Schindler, 2006, Ambio",https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2,194,205,Physical,pollution flow,Pollutant flow,,,,,,,
,,"Schindler, 2006, Ambio",https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2,130,136,Physical,Surface water quantity,Hydrological flows,,,,,,,
,,"Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	",19,19,Physical,nutrient flow,nutrient flow,,,,,,,
,,"Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	",,,Physical,Glacial melt and discharge,river flow,Yes - check indiivudal entry,,,,,,
,,"Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	",,,Physical,Glacial melt and discharge,snow and ice,Yes - check indiivudal entry,,,,,,
,,"Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	",,,Physical,snow melt runoff,river flow,Yes - check indiivudal entry,,,,,,
