Citation,DOI,2.1.Flow.Type,2.1.Flow.Type.NEW,2.2.Subtype,2.2.Subtype.NEW,ID_DOI_by_FlowEntry,ID_DOI_by_Flow,ID_DOI_by_Flow.NEW,Notes
"Noyes, 2009, Environment International",https://www.sciencedirect.com/science/article/pii/S0160412009000543,Biotic,-,transport of toxins through animal migration,migration,72,74,-,to be removed; still needs becky to recode
"de la Fontaine,  2018, Ecology",10.1002/ecy.2382,Biotic,-,Glacial retreat;; range shift,range-shift,12,12,12a,to be removed; Colleen recoded it using form. 
"de la Fontaine,  2018, Ecology",10.1002/ecy.2382,Biotic,-,Glacial retreat;; range shift,gene flow,12,12,12b,to be removed; Colleen recoded it using form. 
