Citation,DOI,2.1.Flow.Type,2.1.Flow.Type.NEW,2.2.Subtype,2.2.Subtype.NEW,Flag_QualityCheck,Flag_SubtypeCode,Flag_FlowCode,Flag_SubFlowSplit,Flag_FlowSplit,Flag_MissingData,ID_DOI_byFlowEntry,ID_DOI_by_Flow,ID_DOI_by_Flow.NEW,Notes
"Peacock, 2011, Canadian Journal of Zoology",10.1139/Z11-021,Physical,Physical,sea ice,sea ice change,,,,,,,8,8,,
"Perry, 2007, Climate Change 2007",NA,Physical,Remove,Freshwater level change,Surface water quantity,,,,,,,170,181,,
"Perry, 2007, Climate Change 2007",NA,Biotic,Remove,range-shift,range-shift,,,,,,,203,214,,
"Perry, 2007, Climate Change 2007",NA,Trade (transport of goods and services),Remove,Energy Supply,Energy Supply,,,,,,,214,225,,
"Peters-Lidard et al, 2021, Climatic Change",https://doi.org/10.1007/s10584-021-03057-5,Physical,Physical,river flow,Surface water quantity,No,Yes,No,No,No,,112,116,,
"Pitman, 2020, BioScience",doi:10.1093/biosci/biaa015,Physical,Physical,Glacial runoff,Glacial melt and discharge,,,,,,,175,186,,
"Pitman, 2020, BioScience",doi:10.1093/biosci/biaa015,Biotic,Biotic,range Shifts,Range shift,,,,,,,205,216,,
"Robinne, 2020, Journal of Hydrology",https://doi.org/10.1016/j.jhydrol.2019.124360,Physical,Physical,Wildfires,wildfire,,,,,,,186,197,,
"Sabater, 2023, Biological Reviews",doi: 10.1111/brv.12914,Physical,Physical,river flow,Surface water quantity,,,,,,,7,7,,
"Scavia, 2002, Estuaries",10.1007/BF02691304,Physical,Physical,riverine discharge and nutrient loading,nutrient flow,,,,,,,166,177,,
"Scavia, 2002, Estuaries",10.1007/BF02691304,Physical,Physical,ocean current,ocean current,,,,,,,200,211,,
"Schindler, 2006, Ambio",https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2,Physical,Physical,Pollutant flow,pollution flow,,,,,,,194,205,,
"Schindler, 2006, Ambio",https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2,Physical,Physical,Hydrological flows,Surface water quantity,,,,,,,130,136,,
"Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	",Physical,Physical,nutrient flow,nutrient flow,,,,,,,19,19,,
"Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	",Physical,Physical,river flow,Surface water quantity,,Yes - check indiivudal entry,,,,,179,190,,
"Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	",Physical,Physical,snow and ice,Glacial melt and discharge,,Yes - check indiivudal entry,,,,,207,218,,
"Sivakumar, B.; 2011; Hydrological Sciences Journal","10.1080/02626667.2011.580747	",Physical,Physical,freshwater quantities in transboundary rivers/watersheds/groundwater aquifers,freshwater quantities in transboundary rivers/watersheds/groundwater aquifers,,Yes,,,,,123,128,,
"Sivakumar, B.; 2011; Hydrological Sciences Journal","10.1080/02626667.2011.580747	",Sociocultural,Sociocultural,transboundary water governance (often international),governance,,Yes,,,,,193,204,,
"Sudlow et al., 2023, Environmental Reviews","10.1139/er-2022-0114	",Physical,Physical,stream flow,stream flow,,,,,,,67,68,,
"Sudlow et al., 2023, Environmental Reviews","10.1139/er-2022-0114	",Biotic,Remove,stream flow,stream flow,Yes,Yes,Yes - remove biotic?,,,,67,69,,
"Vaddey, 2010, Watershed Management",https://doi.org/10.1061/41143(394)9,Physical,Remove,River Flow,River Flow,,,,,,,,,,
"Weber, 1997, Environmental Reviews","http://dx.doi.org/10.1139/a97-008	",Physical,Physical,Fire,wildfire,,,,,,,29,29,,
"Weber, 1997, Environmental Reviews","http://dx.doi.org/10.1139/a97-008	",Biotic,Biotic,Range shift,Range shift,,,,,,,181,192,,
"Wu et al., 2022, Reviews of the Environmental Contamination and Toxicology",https://doi.org/10.1007/s44169-022-00016-8,Physical,Physical,Mercury pollution,pollution flow,,,,,,,108,112,,
"Zak et al., 2020, Earth-Science Reviews",https://doi.org/10.1016/j.earscirev.2020.103446,Physical,Physical,sulfate pollution,pollution flow,,,,,,,107,111,,
"de la Fontaine,  2018, Ecology",10.1002/ecy.2382,Physical,Physical,Glacial retreat;; range shift,Glacial retreat,,,Yes,,Yes,,37,37,,
"de la Fontaine,  2018, Ecology",10.1002/ecy.2382,Biotic,Biotic,Glacial retreat;; range shift,Range shift,,,Yes,,Yes,,37,38,,
