"","Citation","DOI","2.1 Flow Type","2.2 Subtype","2.2.Subtype.x","2.1.Flow.Type","2.2.Subtype.y","2.2.Subtype.NEW","2.2.Subtype.OLD"
"35","Peacock, 2011, Canadian Journal of Zoology","10.1139/Z11-021","Physical","sea ice change","sea ice change",NA,NA,"sea ice change",NA
"36","Perry, 2007, Climate Change 2007",NA,"Physical","Surface water quantity","Surface water quantity",NA,NA,"Surface water quantity",NA
"37","Perry, 2007, Climate Change 2007",NA,"Biotic","range-shift","range-shift",NA,NA,"range-shift",NA
"38","Perry, 2007, Climate Change 2007",NA,"Trade (transport of goods and services)","Energy Supply","Energy Supply",NA,NA,"Energy Supply",NA
"39","Peters-Lidard et al, 2021, Climatic Change","https://doi.org/10.1007/s10584-021-03057-5","Physical","river flow - unclear if quantity or quality","river flow - unclear if quantity or quality",NA,NA,"river flow - unclear if quantity or quality",NA
"40","Pitman, 2020, BioScience","doi:10.1093/biosci/biaa015","Physical","Glacial melt and discharge","Glacial melt and discharge",NA,NA,"Glacial melt and discharge",NA
"41","Pitman, 2020, BioScience","doi:10.1093/biosci/biaa015","Biotic","range shifts","range shifts",NA,NA,"range shifts",NA
"42","Robinne, 2020, Journal of Hydrology","https://doi.org/10.1016/j.jhydrol.2019.124360","Physical","wildfire","wildfire",NA,NA,"wildfire",NA
"43","Robinne, 2020, Journal of Hydrology","https://doi.org/10.1016/j.jhydrol.2019.124360","Physical","wildfire","wildfire",NA,NA,"wildfire",NA
"44","Sabater, 2023, Biological Reviews","doi: 10.1111/brv.12914","Physical","Surface water quantity","Surface water quantity",NA,NA,"Surface water quantity",NA
"45","Scavia, 2002, Estuaries","10.1007/BF02691304","Physical","nutrient flow","nutrient flow",NA,NA,"nutrient flow",NA
"46","Scavia, 2002, Estuaries","10.1007/BF02691304","Physical","ocean current","ocean current",NA,NA,"ocean current",NA
"47","Schindler, 2006, Ambio","https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2","Physical","pollution flow","pollution flow",NA,NA,"pollution flow",NA
"48","Schindler, 2006, Ambio","https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2","Physical","Surface water quantity","Surface water quantity",NA,NA,"Surface water quantity",NA
"49","Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	","Physical","nutrient flow","nutrient flow",NA,NA,"nutrient flow",NA
"50","Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	","Physical","Glacial melt and discharge","Glacial melt and discharge",NA,NA,"Glacial melt and discharge",NA
"51","Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	","Physical","snow melt runoff","snow melt runoff",NA,NA,"snow melt runoff",NA
"52","Sivakumar, B.; 2011; Hydrological Sciences Journal","10.1080/02626667.2011.580747	","Physical","freshwater quantities in transboundary rivers/watersheds/groundwater aquifers","freshwater quantities in transboundary rivers/watersheds/groundwater aquifers",NA,NA,"freshwater quantities in transboundary rivers/watersheds/groundwater aquifers",NA
"53","Sivakumar, B.; 2011; Hydrological Sciences Journal","10.1080/02626667.2011.580747	","Sociocultural","transboundary water governance (often international)","transboundary water governance (often international)",NA,NA,"transboundary water governance (often international)",NA
"54","Sudlow et al., 2023, Environmental Reviews","10.1139/er-2022-0114	","Physical","stream flow","stream flow",NA,NA,"stream flow",NA
"55","Vaddey, 2010, Watershed Management","https://doi.org/10.1061/41143(394)9","Physical","","",NA,NA,"",NA
"56","Weber, 1997, Environmental Reviews","http://dx.doi.org/10.1139/a97-008	","Physical","wildfire","wildfire",NA,NA,"wildfire",NA
"57","Weber, 1997, Environmental Reviews","http://dx.doi.org/10.1139/a97-008	","Biotic","Range shift","Range shift",NA,NA,"Range shift",NA
"58","Wu et al., 2022, Reviews of the Environmental Contamination and Toxicology","https://doi.org/10.1007/s44169-022-00016-8","Physical","pollution flow","pollution flow",NA,NA,"pollution flow",NA
"59","Zak et al., 2020, Earth-Science Reviews","https://doi.org/10.1016/j.earscirev.2020.103446","Physical","pollution flow","pollution flow",NA,NA,"pollution flow",NA
"60","de la Fontaine,  2018, Ecology","10.1002/ecy.2382","Physical","Glacial retreat","Glacial retreat",NA,NA,"Glacial retreat",NA
"61","de la Fontaine,  2018, Ecology","10.1002/ecy.2382","Biotic","Range shift","Range shift",NA,NA,"Range shift",NA
