"","Citation","DOI","2.1 Flow Type","2.2 Subtype","2.2.Subtype.x","2.1.Flow.Type","2.2.Subtype.y","2.2.Subtype.NEW","2.2.Subtype.OLD"
"1"," Gleick & Chalecki, 1999, JAWRA.","DOI:10.1111/j.1752-1688.1999.tb04227.x","Physical","snow melt runoff","snow melt runoff","Physical","runoff","snow melt runoff","runoff"
"2","Banjoko & Eslamian, 2016, Handbook of Drought and Water Scarcity","https://www.taylorfrancis.com/chapters/edit/10.1201/9781315226781-33/environmental-evaluation-lessons-learned-case-studies-bosun-banjoko-saeid-eslamian","Physical","wind flow","wind flow","Physical","wind flow","wind flow","wind flow"
"3","Blum, 2015, Progress in Oceanography","http://dx.doi.org/10.1016/j.pocean.2015.07.011","Physical","sea ice retreat","sea ice retreat","Physical","sea ice retreat","sea ice retreat","sea ice retreat"
"4","Chen, 2011, Journal of Sustainable Development","https://doi.org/10.5539/jsd.v4n3p32","Physical","Surface water quantity","Surface water quantity","Physical","river flow","Surface water quantity","river flow"
"5","Costa, D., 2021, Journal of Great Lakes Research","http://dx.doi.org/10.1016/j.jglr.2021.10.011	","Physical","groundwater","groundwater","Physical","groundwater","groundwater","groundwater"
"6","Covich et al., 1997, Hydrological Processes","https://doi.org/10.1002/(SICI)1099-1085(19970630)11:8<993::AID-HYP515>3.0.CO;2-N","Physical","River flow","River flow","Physical","River flow","River flow","River flow"
"7","Dube et al., 2012, INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT","https://doi.org/10.1002/ieam.1360","Physical","River and groundwater flows along with sediment and pollunts","River and groundwater flows along with sediment and pollunts","Physical","River and groundwater flows along with sediment and pollunts","River and groundwater flows along with sediment and pollunts","River and groundwater flows along with sediment and pollunts"
"8","Dube et al., 2012, INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT","https://doi.org/10.1002/ieam.1360","Physical","River and groundwater flows along with sediment and pollunts","River and groundwater flows along with sediment and pollunts","Biotic","River and groundwater flows along with sediment and pollunts","River and groundwater flows along with sediment and pollunts","River and groundwater flows along with sediment and pollunts"
"9","Flannigan, 2000 , Science of the Total Environment","10.1016/S0048-9697(00)00524-6","Physical","wildfire","wildfire","Physical","Fire","wildfire","Fire"
"10","Foulon (2020) Water Quality Research Journal","https://iwaponline.com/wqrj/article/55/1/1/69781/A-global-scan-of-how-the-issue-of-nutrient-loading","Physical","nutrient flow","nutrient flow","Physical","Nutrient Pollution Flow","nutrient flow","Nutrient Pollution Flow"
"11","Foulon (2020) Water Quality Research Journal","https://iwaponline.com/wqrj/article/55/1/1/69781/A-global-scan-of-how-the-issue-of-nutrient-loading","Physical","nutrient flow","nutrient flow","Biotic","Nutrient Pollution Flow","nutrient flow","Nutrient Pollution Flow"
"12","Gimeno et al., 2019, WIREs Climate Change","10.1002/wcc.588","Physical","Surface water quantity","Surface water quantity","Physical","river flow","Surface water quantity","river flow"
"13","Hartig, 2021, Journal of Great Lakes Research","https://www.researchgate.net/profile/Jan-Ciborowski/publication/352652269_An_ecosystem_health_assessment_of_the_Detroit_River_and_western_Lake_Erie/links/60e936321c28af3458598682/An-ecosystem-health-assessment-of-the-Detroit-River-and-western-Lake-Erie.pdf","Physical","Surface water quantity","Surface water quantity","Physical","lake flow (?? all manner of things impacting the Great Lakes)","Surface water quantity","lake flow (?? all manner of things impacting the Great Lakes)"
