"","Citation","DOI","2.1 Flow Type","2.2 Subtype","2.2.Subtype.x","2.1.Flow.Type","2.2.Subtype.y","2.2.Subtype.NEW","2.2.Subtype.OLD"
"14","Hartig, 2021, Journal of Great Lakes Research","https://www.researchgate.net/profile/Jan-Ciborowski/publication/352652269_An_ecosystem_health_assessment_of_the_Detroit_River_and_western_Lake_Erie/links/60e936321c28af3458598682/An-ecosystem-health-assessment-of-the-Detroit-River-and-western-Lake-Erie.pdf","Physical","Surface water quantity","Surface water quantity","Biotic","lake flow (?? all manner of things impacting the Great Lakes)","Surface water quantity","lake flow (?? all manner of things impacting the Great Lakes)"
"15","Hartig, 2021, Journal of Great Lakes Research","https://www.researchgate.net/profile/Jan-Ciborowski/publication/352652269_An_ecosystem_health_assessment_of_the_Detroit_River_and_western_Lake_Erie/links/60e936321c28af3458598682/An-ecosystem-health-assessment-of-the-Detroit-River-and-western-Lake-Erie.pdf","Biotic","range shift","range shift","Physical","lake flow (?? all manner of things impacting the Great Lakes)","range shift","lake flow (?? all manner of things impacting the Great Lakes)"
"16","Hartig, 2021, Journal of Great Lakes Research","https://www.researchgate.net/profile/Jan-Ciborowski/publication/352652269_An_ecosystem_health_assessment_of_the_Detroit_River_and_western_Lake_Erie/links/60e936321c28af3458598682/An-ecosystem-health-assessment-of-the-Detroit-River-and-western-Lake-Erie.pdf","Biotic","range shift","range shift","Biotic","lake flow (?? all manner of things impacting the Great Lakes)","range shift","lake flow (?? all manner of things impacting the Great Lakes)"
"17","Jager, 2021, Ecology and Evolution","https://doi.org/10.1002/ece3.8026","Physical","wildfire","wildfire","Physical","river flow","wildfire","river flow"
"18","Jager, 2021, Ecology and Evolution","https://doi.org/10.1002/ece3.8026","Physical","wildfire","wildfire","Biotic","migration","wildfire","migration"
"19","Jager, 2021, Ecology and Evolution","https://doi.org/10.1002/ece3.8026","Biotic","migration","migration","Physical","river flow","migration","river flow"
"20","Jager, 2021, Ecology and Evolution","https://doi.org/10.1002/ece3.8026","Biotic","migration","migration","Biotic","migration","migration","migration"
"21","Jenkins et al., 2013, Advances in Parasitology","https://doi.org/10.1016/B978-0-12-407706-5.00002-2","Physical","","","Physical","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region","","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region"
"22","Jenkins et al., 2013, Advances in Parasitology","https://doi.org/10.1016/B978-0-12-407706-5.00002-2","Physical","","","Human movement","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region","","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region"
"23","Jenkins et al., 2013, Advances in Parasitology","https://doi.org/10.1016/B978-0-12-407706-5.00002-2","Physical","","","Trade (transport of goods and services)","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region","","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region"
"24","Jenkins et al., 2013, Advances in Parasitology","https://doi.org/10.1016/B978-0-12-407706-5.00002-2","Physical","","","Sociocultural","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region","","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region"
"25","Jenkins et al., 2013, Advances in Parasitology","https://doi.org/10.1016/B978-0-12-407706-5.00002-2","Physical","","","Biotic","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region","","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region"
"26","Jenkins et al., 2013, Advances in Parasitology","https://doi.org/10.1016/B978-0-12-407706-5.00002-2","Human movement","influx of people","influx of people","Physical","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region","influx of people","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region"
"27","Jenkins et al., 2013, Advances in Parasitology","https://doi.org/10.1016/B978-0-12-407706-5.00002-2","Human movement","influx of people","influx of people","Human movement","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region","influx of people","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region"
"28","Jenkins et al., 2013, Advances in Parasitology","https://doi.org/10.1016/B978-0-12-407706-5.00002-2","Human movement","influx of people","influx of people","Trade (transport of goods and services)","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region","influx of people","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region"
"29","Jenkins et al., 2013, Advances in Parasitology","https://doi.org/10.1016/B978-0-12-407706-5.00002-2","Human movement","influx of people","influx of people","Sociocultural","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region","influx of people","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region"
"30","Jenkins et al., 2013, Advances in Parasitology","https://doi.org/10.1016/B978-0-12-407706-5.00002-2","Human movement","influx of people","influx of people","Biotic","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region","influx of people","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region"
"31","Jenkins et al., 2013, Advances in Parasitology","https://doi.org/10.1016/B978-0-12-407706-5.00002-2","Trade (transport of goods and services)","tourism, agriculture,  and other human activities in the North region","tourism, agriculture,  and other human activities in the North region","Physical","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region","tourism, agriculture,  and other human activities in the North region","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region"
"32","Jenkins et al., 2013, Advances in Parasitology","https://doi.org/10.1016/B978-0-12-407706-5.00002-2","Trade (transport of goods and services)","tourism, agriculture,  and other human activities in the North region","tourism, agriculture,  and other human activities in the North region","Human movement","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region","tourism, agriculture,  and other human activities in the North region","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region"
"33","Jenkins et al., 2013, Advances in Parasitology","https://doi.org/10.1016/B978-0-12-407706-5.00002-2","Trade (transport of goods and services)","tourism, agriculture,  and other human activities in the North region","tourism, agriculture,  and other human activities in the North region","Trade (transport of goods and services)","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region","tourism, agriculture,  and other human activities in the North region","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region"
"34","Jenkins et al., 2013, Advances in Parasitology","https://doi.org/10.1016/B978-0-12-407706-5.00002-2","Trade (transport of goods and services)","tourism, agriculture,  and other human activities in the North region","tourism, agriculture,  and other human activities in the North region","Sociocultural","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region","tourism, agriculture,  and other human activities in the North region","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region"
"35","Jenkins et al., 2013, Advances in Parasitology","https://doi.org/10.1016/B978-0-12-407706-5.00002-2","Trade (transport of goods and services)","tourism, agriculture,  and other human activities in the North region","tourism, agriculture,  and other human activities in the North region","Biotic","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region","tourism, agriculture,  and other human activities in the North region","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region"
"36","Jenkins et al., 2013, Advances in Parasitology","https://doi.org/10.1016/B978-0-12-407706-5.00002-2","Sociocultural","??","??","Physical","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region","??","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region"
"37","Jenkins et al., 2013, Advances in Parasitology","https://doi.org/10.1016/B978-0-12-407706-5.00002-2","Sociocultural","??","??","Human movement","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region","??","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region"
"38","Jenkins et al., 2013, Advances in Parasitology","https://doi.org/10.1016/B978-0-12-407706-5.00002-2","Sociocultural","??","??","Trade (transport of goods and services)","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region","??","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region"
"39","Jenkins et al., 2013, Advances in Parasitology","https://doi.org/10.1016/B978-0-12-407706-5.00002-2","Sociocultural","??","??","Sociocultural","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region","??","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region"
"40","Jenkins et al., 2013, Advances in Parasitology","https://doi.org/10.1016/B978-0-12-407706-5.00002-2","Sociocultural","??","??","Biotic","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region","??","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region"
"41","Jenkins et al., 2013, Advances in Parasitology","https://doi.org/10.1016/B978-0-12-407706-5.00002-2","Biotic","range shift","range shift","Physical","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region","range shift","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region"
"42","Jenkins et al., 2013, Advances in Parasitology","https://doi.org/10.1016/B978-0-12-407706-5.00002-2","Biotic","range shift","range shift","Human movement","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region","range shift","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region"
"43","Jenkins et al., 2013, Advances in Parasitology","https://doi.org/10.1016/B978-0-12-407706-5.00002-2","Biotic","range shift","range shift","Trade (transport of goods and services)","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region","range shift","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region"
"44","Jenkins et al., 2013, Advances in Parasitology","https://doi.org/10.1016/B978-0-12-407706-5.00002-2","Biotic","range shift","range shift","Sociocultural","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region","range shift","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region"
"45","Jenkins et al., 2013, Advances in Parasitology","https://doi.org/10.1016/B978-0-12-407706-5.00002-2","Biotic","range shift","range shift","Biotic","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region","range shift","range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region"
"46","Laushman, 2020, air soil and water research","https://doi.org/10.1177/1178622120950272","Physical","wildfire","wildfire","Physical","wildfire","wildfire","wildfire"
"47","Laushman, 2020, air soil and water research","https://doi.org/10.1177/1178622120950272","Physical","wildfire","wildfire","Biotic","invasion","wildfire","invasion"
"48","Laushman, 2020, air soil and water research","https://doi.org/10.1177/1178622120950272","Physical","wildfire","wildfire","Biotic","biome-shift","wildfire","biome-shift"
"49","Laushman, 2020, air soil and water research","https://doi.org/10.1177/1178622120950272","Physical","wildfire","wildfire","Sociocultural","knowledge transfer","wildfire","knowledge transfer"
"50","Laushman, 2020, air soil and water research","https://doi.org/10.1177/1178622120950272","Biotic","biome-shift","biome-shift","Physical","wildfire","biome-shift","wildfire"
"51","Laushman, 2020, air soil and water research","https://doi.org/10.1177/1178622120950272","Biotic","biome-shift","biome-shift","Biotic","invasion","biome-shift","invasion"
"52","Laushman, 2020, air soil and water research","https://doi.org/10.1177/1178622120950272","Biotic","biome-shift","biome-shift","Biotic","biome-shift","biome-shift","biome-shift"
"53","Laushman, 2020, air soil and water research","https://doi.org/10.1177/1178622120950272","Biotic","biome-shift","biome-shift","Sociocultural","knowledge transfer","biome-shift","knowledge transfer"
"54","Laushman, 2020, air soil and water research","https://doi.org/10.1177/1178622120950272","Biotic","Invasion","Invasion","Physical","wildfire","Invasion","wildfire"
"55","Laushman, 2020, air soil and water research","https://doi.org/10.1177/1178622120950272","Biotic","Invasion","Invasion","Biotic","invasion","Invasion","invasion"
"56","Laushman, 2020, air soil and water research","https://doi.org/10.1177/1178622120950272","Biotic","Invasion","Invasion","Biotic","biome-shift","Invasion","biome-shift"
"57","Laushman, 2020, air soil and water research","https://doi.org/10.1177/1178622120950272","Biotic","Invasion","Invasion","Sociocultural","knowledge transfer","Invasion","knowledge transfer"
"58","Laushman, 2020, air soil and water research","https://doi.org/10.1177/1178622120950272","Sociocultural","knowledge transfer","knowledge transfer","Physical","wildfire","knowledge transfer","wildfire"
"59","Laushman, 2020, air soil and water research","https://doi.org/10.1177/1178622120950272","Sociocultural","knowledge transfer","knowledge transfer","Biotic","invasion","knowledge transfer","invasion"
"60","Laushman, 2020, air soil and water research","https://doi.org/10.1177/1178622120950272","Sociocultural","knowledge transfer","knowledge transfer","Biotic","biome-shift","knowledge transfer","biome-shift"
"61","Laushman, 2020, air soil and water research","https://doi.org/10.1177/1178622120950272","Sociocultural","knowledge transfer","knowledge transfer","Sociocultural","knowledge transfer","knowledge transfer","knowledge transfer"
"62","Miller et al., 2024, Biogeochemistry","https://doi.org/10.1007/s10533-023-01108-w","Physical","pollution flow","pollution flow","Physical","Mercury pollution","pollution flow","Mercury pollution"
"63","Mohan, 2009, Canadian Journal of Forest Research","10.1139/er-2017-0046","Physical","Winter thaws","Winter thaws","Physical","Winter thaws","Winter thaws","Winter thaws"
"64","Moore, R.D.; 2009; Hydrological Processes","10.1002/hyp.7162","Physical","pollution flow","pollution flow","Physical","river flow","pollution flow","river flow"
"65","Moore, R.D.; 2009; Hydrological Processes","10.1002/hyp.7162","Physical","pollution flow","pollution flow","Physical","pollutants","pollution flow","pollutants"
"66","Moore, R.D.; 2009; Hydrological Processes","10.1002/hyp.7162","Physical","pollution flow","pollution flow","Physical","sediment flow","pollution flow","sediment flow"
"67","Moore, R.D.; 2009; Hydrological Processes","10.1002/hyp.7162","Physical","sediment flow","sediment flow","Physical","river flow","sediment flow","river flow"
"68","Moore, R.D.; 2009; Hydrological Processes","10.1002/hyp.7162","Physical","sediment flow","sediment flow","Physical","pollutants","sediment flow","pollutants"
"69","Moore, R.D.; 2009; Hydrological Processes","10.1002/hyp.7162","Physical","sediment flow","sediment flow","Physical","sediment flow","sediment flow","sediment flow"
"70","Moore, R.D.; 2009; Hydrological Processes","10.1002/hyp.7162","Physical","Glacial melt and discharge","Glacial melt and discharge","Physical","river flow","Glacial melt and discharge","river flow"
"71","Moore, R.D.; 2009; Hydrological Processes","10.1002/hyp.7162","Physical","Glacial melt and discharge","Glacial melt and discharge","Physical","pollutants","Glacial melt and discharge","pollutants"
"72","Moore, R.D.; 2009; Hydrological Processes","10.1002/hyp.7162","Physical","Glacial melt and discharge","Glacial melt and discharge","Physical","sediment flow","Glacial melt and discharge","sediment flow"
"73","Mu et al., 2011, Hydrological Processes","https://onlinelibrary.wiley.com/doi/10.1002/hyp.8367","Physical","snow melt runoff","snow melt runoff","Physical","water flow","snow melt runoff","water flow"
"74","Nielsen, 2015, Global Change Biology","doi: 10.1111/gcb.12789","Physical","Precipiation","Precipiation","Physical","Precipiation","Precipiation","Precipiation"
"75","Noyes, 2009, Environment International","https://www.sciencedirect.com/science/article/pii/S0160412009000543","Physical","pollution flow","pollution flow","Physical","River flow, pollutants","pollution flow","River flow, pollutants"
"76","Noyes, 2009, Environment International","https://www.sciencedirect.com/science/article/pii/S0160412009000543","Physical","pollution flow","pollution flow","Biotic","transport of toxins through animal migration","pollution flow","transport of toxins through animal migration"
"77","Noyes, 2009, Environment International","https://www.sciencedirect.com/science/article/pii/S0160412009000543","Biotic","transport of toxins through animal migration","transport of toxins through animal migration","Physical","River flow, pollutants","transport of toxins through animal migration","River flow, pollutants"
"78","Noyes, 2009, Environment International","https://www.sciencedirect.com/science/article/pii/S0160412009000543","Biotic","transport of toxins through animal migration","transport of toxins through animal migration","Biotic","transport of toxins through animal migration","transport of toxins through animal migration","transport of toxins through animal migration"
"79","Ochs, 2024, Science of the Total Environment","https://doi.org/10.1016/j.scitotenv.2024.171490","Physical","pollution flow","pollution flow","Physical","riverine dishcharge, lake circulation","pollution flow","riverine dishcharge, lake circulation"
"80","Ochs, 2024, Science of the Total Environment","https://doi.org/10.1016/j.scitotenv.2024.171490","Physical","pollution flow","pollution flow","Biotic","riverine dishcharge, lake circulation","pollution flow","riverine dishcharge, lake circulation"
"81","Pagano, 2014, Water","10.3390/w6102862","Physical","pollution flow","pollution flow","Physical","river flow","pollution flow","river flow"
"82","Peacock, 2011, Canadian Journal of Zoology","10.1139/Z11-021","Physical","sea ice change","sea ice change","Physical","sea ice","sea ice change","sea ice"
"83","Perry, 2007, Climate Change 2007",NA,"Physical","Surface water quantity","Surface water quantity","Physical","Freshwater level change","Surface water quantity","Freshwater level change"
"84","Perry, 2007, Climate Change 2007",NA,"Physical","Surface water quantity","Surface water quantity","Biotic","range-shift","Surface water quantity","range-shift"
"85","Perry, 2007, Climate Change 2007",NA,"Physical","Surface water quantity","Surface water quantity","Trade (transport of goods and services)","Energy Supply","Surface water quantity","Energy Supply"
"86","Perry, 2007, Climate Change 2007",NA,"Biotic","range-shift","range-shift","Physical","Freshwater level change","range-shift","Freshwater level change"
"87","Perry, 2007, Climate Change 2007",NA,"Biotic","range-shift","range-shift","Biotic","range-shift","range-shift","range-shift"
"88","Perry, 2007, Climate Change 2007",NA,"Biotic","range-shift","range-shift","Trade (transport of goods and services)","Energy Supply","range-shift","Energy Supply"
"89","Perry, 2007, Climate Change 2007",NA,"Trade (transport of goods and services)","Energy Supply","Energy Supply","Physical","Freshwater level change","Energy Supply","Freshwater level change"
"90","Perry, 2007, Climate Change 2007",NA,"Trade (transport of goods and services)","Energy Supply","Energy Supply","Biotic","range-shift","Energy Supply","range-shift"
"91","Perry, 2007, Climate Change 2007",NA,"Trade (transport of goods and services)","Energy Supply","Energy Supply","Trade (transport of goods and services)","Energy Supply","Energy Supply","Energy Supply"
"92","Peters-Lidard et al, 2021, Climatic Change","https://doi.org/10.1007/s10584-021-03057-5","Physical","river flow - unclear if quantity or quality","river flow - unclear if quantity or quality","Physical","river flow","river flow - unclear if quantity or quality","river flow"
"93","Pitman, 2020, BioScience","doi:10.1093/biosci/biaa015","Physical","Glacial melt and discharge","Glacial melt and discharge","Physical","Glacial runoff","Glacial melt and discharge","Glacial runoff"
"94","Pitman, 2020, BioScience","doi:10.1093/biosci/biaa015","Physical","Glacial melt and discharge","Glacial melt and discharge","Biotic","range Shifts","Glacial melt and discharge","range Shifts"
"95","Pitman, 2020, BioScience","doi:10.1093/biosci/biaa015","Biotic","range shifts","range shifts","Physical","Glacial runoff","range shifts","Glacial runoff"
"96","Pitman, 2020, BioScience","doi:10.1093/biosci/biaa015","Biotic","range shifts","range shifts","Biotic","range Shifts","range shifts","range Shifts"
"97","Robinne, 2020, Journal of Hydrology","https://doi.org/10.1016/j.jhydrol.2019.124360","Physical","wildfire","wildfire","Physical","River flow","wildfire","River flow"
"98","Robinne, 2020, Journal of Hydrology","https://doi.org/10.1016/j.jhydrol.2019.124360","Physical","wildfire","wildfire","Physical","Wildfires","wildfire","Wildfires"
"99","Robinne, 2020, Journal of Hydrology","https://doi.org/10.1016/j.jhydrol.2019.124360","Physical","wildfire","wildfire","Physical","River flow","wildfire","River flow"
"100","Robinne, 2020, Journal of Hydrology","https://doi.org/10.1016/j.jhydrol.2019.124360","Physical","wildfire","wildfire","Physical","Wildfires","wildfire","Wildfires"
"101","Sabater, 2023, Biological Reviews","doi: 10.1111/brv.12914","Physical","Surface water quantity","Surface water quantity","Physical","river flow","Surface water quantity","river flow"
"102","Scavia, 2002, Estuaries","10.1007/BF02691304","Physical","nutrient flow","nutrient flow","Physical","riverine discharge and nutrient loading","nutrient flow","riverine discharge and nutrient loading"
"103","Scavia, 2002, Estuaries","10.1007/BF02691304","Physical","nutrient flow","nutrient flow","Physical","ocean current","nutrient flow","ocean current"
"104","Scavia, 2002, Estuaries","10.1007/BF02691304","Physical","ocean current","ocean current","Physical","riverine discharge and nutrient loading","ocean current","riverine discharge and nutrient loading"
"105","Scavia, 2002, Estuaries","10.1007/BF02691304","Physical","ocean current","ocean current","Physical","ocean current","ocean current","ocean current"
"106","Schindler, 2006, Ambio","https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2","Physical","pollution flow","pollution flow","Physical","Hydrological flows","pollution flow","Hydrological flows"
"107","Schindler, 2006, Ambio","https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2","Physical","pollution flow","pollution flow","Physical","Pollutant flow","pollution flow","Pollutant flow"
"108","Schindler, 2006, Ambio","https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2","Physical","Surface water quantity","Surface water quantity","Physical","Hydrological flows","Surface water quantity","Hydrological flows"
"109","Schindler, 2006, Ambio","https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2","Physical","Surface water quantity","Surface water quantity","Physical","Pollutant flow","Surface water quantity","Pollutant flow"
"110","Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	","Physical","nutrient flow","nutrient flow","Physical","nutrient flow","nutrient flow","nutrient flow"
"111","Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	","Physical","nutrient flow","nutrient flow","Physical","river flow","nutrient flow","river flow"
"112","Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	","Physical","nutrient flow","nutrient flow","Physical","snow and ice","nutrient flow","snow and ice"
"113","Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	","Physical","Glacial melt and discharge","Glacial melt and discharge","Physical","nutrient flow","Glacial melt and discharge","nutrient flow"
"114","Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	","Physical","Glacial melt and discharge","Glacial melt and discharge","Physical","river flow","Glacial melt and discharge","river flow"
"115","Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	","Physical","Glacial melt and discharge","Glacial melt and discharge","Physical","snow and ice","Glacial melt and discharge","snow and ice"
"116","Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	","Physical","snow melt runoff","snow melt runoff","Physical","nutrient flow","snow melt runoff","nutrient flow"
"117","Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	","Physical","snow melt runoff","snow melt runoff","Physical","river flow","snow melt runoff","river flow"
"118","Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	","Physical","snow melt runoff","snow melt runoff","Physical","snow and ice","snow melt runoff","snow and ice"
"119","Sivakumar, B.; 2011; Hydrological Sciences Journal","10.1080/02626667.2011.580747	","Physical","freshwater quantities in transboundary rivers/watersheds/groundwater aquifers","freshwater quantities in transboundary rivers/watersheds/groundwater aquifers","Physical","freshwater quantities in transboundary rivers/watersheds/groundwater aquifers","freshwater quantities in transboundary rivers/watersheds/groundwater aquifers","freshwater quantities in transboundary rivers/watersheds/groundwater aquifers"
"120","Sivakumar, B.; 2011; Hydrological Sciences Journal","10.1080/02626667.2011.580747	","Physical","freshwater quantities in transboundary rivers/watersheds/groundwater aquifers","freshwater quantities in transboundary rivers/watersheds/groundwater aquifers","Sociocultural","transboundary water governance (often international)","freshwater quantities in transboundary rivers/watersheds/groundwater aquifers","transboundary water governance (often international)"
"121","Sivakumar, B.; 2011; Hydrological Sciences Journal","10.1080/02626667.2011.580747	","Sociocultural","transboundary water governance (often international)","transboundary water governance (often international)","Physical","freshwater quantities in transboundary rivers/watersheds/groundwater aquifers","transboundary water governance (often international)","freshwater quantities in transboundary rivers/watersheds/groundwater aquifers"
"122","Sivakumar, B.; 2011; Hydrological Sciences Journal","10.1080/02626667.2011.580747	","Sociocultural","transboundary water governance (often international)","transboundary water governance (often international)","Sociocultural","transboundary water governance (often international)","transboundary water governance (often international)","transboundary water governance (often international)"
"123","Sudlow et al., 2023, Environmental Reviews","10.1139/er-2022-0114	","Physical","stream flow","stream flow","Physical","stream flow","stream flow","stream flow"
"124","Sudlow et al., 2023, Environmental Reviews","10.1139/er-2022-0114	","Physical","stream flow","stream flow","Biotic","stream flow","stream flow","stream flow"
"125","Vaddey, 2010, Watershed Management","https://doi.org/10.1061/41143(394)9","Physical","","","Physical","River Flow","","River Flow"
"126","Weber, 1997, Environmental Reviews","http://dx.doi.org/10.1139/a97-008	","Physical","wildfire","wildfire","Physical","Fire","wildfire","Fire"
"127","Weber, 1997, Environmental Reviews","http://dx.doi.org/10.1139/a97-008	","Physical","wildfire","wildfire","Biotic","Range shift","wildfire","Range shift"
