Citation,DOI,2.1 Flow Type,2.1.Flow.Type,2.2.Subtype.NEW,2.2.Subtype.OLD,Flag_SubtypeCode,Flag_QualityCheck,Flag_FlowCode,Flag_SubflowSpit,Flag_FlowSplit ,Flag_MissingData
"Laushman, 2020, air soil and water research",https://doi.org/10.1177/1178622120950272,Sociocultural,Biotic,knowledge transfer,biome-shift,,,,,,
"Laushman, 2020, air soil and water research",https://doi.org/10.1177/1178622120950272,Sociocultural,Sociocultural,knowledge transfer,knowledge transfer,,,,,,
"Miller et al., 2024, Biogeochemistry",https://doi.org/10.1007/s10533-023-01108-w,Physical,Physical,pollution flow,Mercury pollution,,,,,,
"Mohan, 2009, Canadian Journal of Forest Research",10.1139/er-2017-0046,Physical,Physical,Winter thaws,Winter thaws,,,,,,
"Moore, R.D.; 2009; Hydrological Processes",10.1002/hyp.7162,Physical,Physical,pollution flow,river flow,,,,,,
"Moore, R.D.; 2009; Hydrological Processes",10.1002/hyp.7162,Physical,Physical,pollution flow,pollutants,,,,,,
"Moore, R.D.; 2009; Hydrological Processes",10.1002/hyp.7162,Physical,Physical,pollution flow,sediment flow,,,,,,
"Moore, R.D.; 2009; Hydrological Processes",10.1002/hyp.7162,Physical,Physical,sediment flow,river flow,,,,,,
"Moore, R.D.; 2009; Hydrological Processes",10.1002/hyp.7162,Physical,Physical,sediment flow,pollutants,,,,,,
"Moore, R.D.; 2009; Hydrological Processes",10.1002/hyp.7162,Physical,Physical,sediment flow,sediment flow,,,,,,
"Moore, R.D.; 2009; Hydrological Processes",10.1002/hyp.7162,Physical,Physical,Glacial melt and discharge,river flow,,,,,,
"Moore, R.D.; 2009; Hydrological Processes",10.1002/hyp.7162,Physical,Physical,Glacial melt and discharge,pollutants,,,,,,
"Moore, R.D.; 2009; Hydrological Processes",10.1002/hyp.7162,Physical,Physical,Glacial melt and discharge,sediment flow,,,,,,
